Cidade;valortotal;categorias
BAURU-SP;31408.78;COOL_STUFF|BRINQUEDOS|UTILIDADES_DOMESTICA|BELEZA_SAUDE|MOVEIS_DECORACAO|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|BEBIDAS|RELOGIOS_PRESENTES|ESPORTE_LAZER|PERFUMARIA|TELEFONIA|MOVEIS_ESCRITORIO|ELETRONICOS|INFORMATICA_ACESSORI|PET_SHOP|MALAS_ACESSORIOS|FASHION_BOLSAS_E_ACE|PAPELARIA|ELETRODOMESTICOS|AUTOMOTIVO|CONSOLES_GAMES|
NIQUELANDIA-GO;1473.38;COOL_STUFF|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|PERFUMARIA|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|ESPORTE_LAZER|AUTOMOTIVO|TELEFONIA|
ITUVERAVA-SP;3563.94;COOL_STUFF|CAMA_MESA_BANHO|MOVEIS_DECORACAO|PERFUMARIA|RELOGIOS_PRESENTES|BELEZA_SAUDE|TELEFONIA|ESPORTE_LAZER|ELETRODOMESTICOS|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|AUTOMOTIVO|
PAULINIA-SP;13742.18;COOL_STUFF|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|UTILIDADES_DOMESTICA|TELEFONIA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|ELETRONICOS|INFORMATICA_ACESSORI|BRINQUEDOS|MALAS_ACESSORIOS|RELOGIOS_PRESENTES|PAPELARIA|ELETRODOMESTICOS|PET_SHOP|AUTOMOTIVO|CONSOLES_GAMES|BEBIDAS|
PINHEIRAL-RJ;2165.19;COOL_STUFF|MOVEIS_DECORACAO|MOVEIS_ESCRITORIO|ESPORTE_LAZER|INFORMATICA_ACESSORI|ELETRONICOS|CAMA_MESA_BANHO|BRINQUEDOS|PERFUMARIA|
GUANAMBI-BA;4159.91;COOL_STUFF|BELEZA_SAUDE|MOVEIS_DECORACAO|TELEFONIA|RELOGIOS_PRESENTES|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|PERFUMARIA|BRINQUEDOS|FASHION_BOLSAS_E_ACE|PAPELARIA|AUTOMOTIVO|MALAS_ACESSORIOS|BEBIDAS|UTILIDADES_DOMESTICA|
BRAS PIRES-MG;76.80;COOL_STUFF|TELEFONIA|
JOINVILLE-SC;30917.37;COOL_STUFF|BELEZA_SAUDE|CAMA_MESA_BANHO|BEBIDAS|UTILIDADES_DOMESTICA|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|PAPELARIA|RELOGIOS_PRESENTES|ESPORTE_LAZER|PERFUMARIA|TELEFONIA|AUTOMOTIVO|BRINQUEDOS|ELETRONICOS|PET_SHOP|CONSOLES_GAMES|ELETRODOMESTICOS|FASHION_BOLSAS_E_ACE|MALAS_ACESSORIOS|
RESENDE-RJ;11628.64;COOL_STUFF|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|AUTOMOTIVO|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|RELOGIOS_PRESENTES|CAMA_MESA_BANHO|ELETRONICOS|BELEZA_SAUDE|INFORMATICA_ACESSORI|BEBIDAS|UTILIDADES_DOMESTICA|BRINQUEDOS|PERFUMARIA|PAPELARIA|CONSOLES_GAMES|TELEFONIA|ELETRODOMESTICOS|MALAS_ACESSORIOS|PET_SHOP|
MOGI DAS CRUZES-SP;46842.99;COOL_STUFF|PET_SHOP|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|ESPORTE_LAZER|INFORMATICA_ACESSORI|BRINQUEDOS|TELEFONIA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|ELETRONICOS|BEBIDAS|PAPELARIA|MALAS_ACESSORIOS|ELETRODOMESTICOS|CONSOLES_GAMES|
BREJO DA MADRE DE DEUS-PE;410.80;COOL_STUFF|CAMA_MESA_BANHO|ESPORTE_LAZER|BELEZA_SAUDE|
CRISTALIA-MG;418.70;COOL_STUFF|BELEZA_SAUDE|
